Year,Date,Card_Num,Reversed,In_Spread,Connection,Area_Connection_1,Area_Connection_2
2024,17-Jul,13,0,0,1,Friendship-negative,Spirituality
2024,17-Jul,36,1,1,0,,
2024,17-Jul,43,1,1,1,Friendship-negative,
2024,17-Jul,33,1,1,1,Mental-health,
2024,18-Jul,47,0,0,1,LAUNCH,
2024,18-Jul,42,1,0,1,Friendship-negative,
2024,19-Jul,7,1,0,0,,
2024,20-Jul,44,0,0,1,Friendship-positive,
2024,21-Jul,4,1,0,1,Family-negative,
2024,22-Jul,46,0,0,1,Research,Friendship-negative
2024,23-Jul,22,0,0,1,Family-positive,
2024,24-Jul,7,1,0,0,,
2024,25-Jul,5,0,0,1,Hobbies,
2024,26-Jul,23,1,0,0,,
2024,27-Jul,7,0,0,1,Life-advice,
2024,28-Jul,31,1,0,0,,
2024,29-Jul,0,0,0,1,Friendship-positive,
2024,30-Jul,26,0,0,1,Friendship-positive,
2024,31-Jul,2,0,0,1,Friendship-positive,Mental-health
2024,01-Aug,19,0,0,1,Mental-health,
2024,02-Aug,31,1,0,1,Mental-health,
2024,03-Aug,8,0,0,1,Friendship-positive,Event
2024,04-Aug,20,1,0,1,Mental-health,
2024,05-Aug,34,0,0,1,Mental-health,
2024,08-Aug,35,1,0,1,Mental-health,
2024,09-Aug,48,0,0,1,Mental-health,
2024,10-Aug,1,0,0,1,Life-advice,
2024,12-Aug,9,0,0,1,Family-negative,
2024,13-Aug,14,0,0,1,Life-advice,
2024,14-Aug,47,1,0,1,Friendship-care,
2024,15-Aug,10,0,0,0,,
2024,16-Aug,16,0,0,1,Event,
2024,17-Aug,4,0,0,1,Event,
2024,18-Aug,14,0,0,1,Friendship-care,
2024,20-Aug,0,0,0,1,Research,
2024,21-Aug,42,1,0,1,Event,
2024,22-Aug,24,1,0,0,,
2024,23-Aug,2,1,0,1,Hobbies,
2024,24-Aug,40,1,0,0,,
2024,24-Aug,38,1,1,2,,
2024,24-Aug,30,0,1,2,,
2024,24-Aug,2,1,1,2,,
2024,24-Aug,19,1,0,1,Mental-health,
2024,25-Aug,27,1,0,1,Mental-health,
2024,26-Aug,1,1,0,1,Life-advice,
2024,27-Aug,28,1,0,0,,
2024,27-Aug,2,1,0,1,Hobbies,
2024,28-Aug,31,0,0,1,LAUNCH,
2024,29-Aug,50,1,0,1,LAUNCH,
2024,30-Aug,5,0,0,1,LAUNCH,
2024,31-Aug,12,0,0,1,LAUNCH,Event
2024,02-Sep,43,1,0,1,Family-negative,
2024,03-Sep,34,0,0,1,Workload,
2024,04-Sep,44,1,0,1,Friendship-negative,Family-negative
2024,05-Sep,22,0,0,0,,
2024,08-Sep,32,1,0,0,,
2024,09-Sep,25,1,0,1,LAUNCH,
2024,11-Sep,8,1,0,1,Mental-health,
2024,12-Sep,5,0,0,1,LAUNCH,Friendship-positive
2024,13-Sep,36,0,0,1,Mental-health,
2024,13-Sep,35,1,0,1,Workload,
2024,17-Sep,20,1,0,1,Mental-health,
2024,19-Sep,4,0,0,1,CSSC,
2024,20-Sep,8,0,0,1,Academics,
2024,21-Sep,12,0,0,1,Workload,
2024,22-Sep,34,0,1,1,Mental-health,
2024,22-Sep,47,0,1,1,LAUNCH,
2024,22-Sep,27,0,1,0,,
2024,22-Sep,11,1,1,0,,
2024,23-Sep,51,1,0,1,Friendship-negative,LAUNCH
2024,24-Sep,4,0,0,1,LAUNCH,
2024,26-Sep,13,0,0,0,,
2024,27-Sep,41,1,0,1,Life-advice,
2024,28-Sep,17,1,0,0,Academics,
